Sl. No.,Service Name / Name of Treatment/Procedure/Investigation,CHSS SOR New Rate (₹)
1,Arterial cannulation,1000
2,Epidural Analgesia.,3000
3,Monitored Anaesthesia Care/ Conscious Sedation,2000
4,Peripheral nerve block,1500
5,Short General Anaesthesia charges for OPD procedures/ investigations,3500
6,Stellate Ganglion Block,3000
7,3D Trans-Esophageal Echocardiography (TEE),6000
8,99M-TC-MIBI Myocardial stress study test,6600
9,AICD Implantation / Cardio Resynchronization Therapy (CRT) | Double chamber (Cath lab charges included),50000
10,AICD Lead Repositioning,7000
11,Ambulatory BP monitoring,1500
12,Aortic Aneurysm Stent Grafting (AA Stent Grafting) | (Stent charges at actuals),70000
13,"ASD Device Closure | Package includes up to 4 days stay (Room/ICCU), Professional | Charges, Nursing Charges, Pre & Post procedure investigations, | CATH lab charges, Cross Matching & Screening of blood, drugs used | for the procedure & consumables. | (Cost of closure device at actuals)",100000
14,"Balloon valvuloplasty Aortic/Pulmonary/Tricuspid/ mitral Valves | (Adult) | Package includes up to 4 days stay (Room/ICCU), Professional | Charges, Nursing Charges, CATH lab charges, C-arm charges, Cross | Matching & Screening of blood | (delivery system/sheath and balloon charges at actuals )",75000
15,Bundle of His recording (Short EP Study),18000
16,"Cardiac Catheterization and Coronary Angiography (PACKAGE) | Package includes up to 2 days stay (Room/ICCU charges), | Professional Charges (Cardiologist), Nursing Charges, Pre procedural | investigations, Normal contrast-dye, Consumables.",15000
17,Cardioversion,1000
18,"Carotid/Cerebral/Renal/Peripheral Angiogram | CATH LAB PROCEDURES (PACKAGE) | Package includes up to 2 days stay (Room/ICCU charges), | Professional Charges (Cardiologist), Nursing Charges, Pre & post | procedural investigations, drugs used for the procedure, Normal | contrast-dye, Consumables.",12000
19,"Coronary Rotablation Procedure | In addition, charges for Rotablator , as per ceiling rates fixed by | MoH&FW vide OM dated 06.08.2018, are allowed. | 1. Rotablator with Advancer - Rs. 49,920/- + GST | 2. Rotablator Burr - Rs. 23,920/- + GST",30000
20,Detailed EP Study with RF Ablation,70000
21,ECHO - Dobutamine Stress test (all inclusive),4000
22,Echo Cardiography (including doppler study),1500
23,EPS +RFA+ 3D Mapping,75000
24,Fractional Flow Reserve (FFR),20000
25,Head-up Tilt Test,2000
26,"Holter Electrocardiographic monitoring for 24 hrs. | [If the procedure is required for longer duration, prior approval should | be taken from the Centre]",1800
27,Intraaortic Balloon Pump (IABP) insertion | (cost of balloon at actuals),15000
28,Loop Recorder implantation/Explantation,3000
29,Optical Coherence Tomography (OCT),25000
30,Pacemaker/ICD testing,700
31,Pericardial Tapping/Pericardiocentesis,10000
